type,area,zone,region,deal_price,year_price,month_price,deposit_price
아파트,강북지역,도심권,종로구,10613,6462,1499,106627
아파트,강북지역,도심권,중구,10181,6565,1547,53334
아파트,강북지역,도심권,용산구,14186,6303,2065,73964
아파트,강북지역,동북권,성동구,11032,6278,1433,60220
아파트,강북지역,동북권,광진구,11124,6540,1256,167633
아파트,강북지역,동북권,동대문구,8319,5055,838,118320
아파트,강북지역,동북권,중랑구,6325,4329,854,67906
아파트,강북지역,동북권,성북구,7642,5026,1003,64847
아파트,강북지역,동북권,강북구,6414,4106,852,51535
아파트,강북지역,동북권,도봉구,6145,3652,395,144747
아파트,강북지역,동북권,노원구,6823,3884,693,80113
아파트,강북지역,서북권,은평구,7092,4317,865,86736
아파트,강북지역,서북권,서대문구,8205,4961,869,116424
아파트,강북지역,서북권,마포구,11899,6594,1292,117464
아파트,강남지역,서남권,양천구,10347,5583,858,173136
아파트,강남지역,서남권,강서구,8575,4985,806,101215
아파트,강남지역,서남권,구로구,7382,4711,820,92895
아파트,강남지역,서남권,금천구,6331,4081,793,70666
아파트,강남지역,서남권,영등포구,9793,5377,1062,86325
아파트,강남지역,서남권,동작구,10225,6041,1202,106749
아파트,강남지역,서남권,관악구,7188,4948,855,84710
아파트,강남지역,동남권,서초구,16933,8278,1986,195386
아파트,강남지역,동남권,강남구,19226,8458,1791,234253
아파트,강남지역,동남권,송파구,13434,6359,1243,164997
아파트,강남지역,동남권,강동구,9525,5181,969,124978
